weather,num_plants,soil_moisture,area,water_liters
sunny,7,36.5,3.22,1.83
cloudy,17,22.1,6.11,14.47
sunny,20,14.7,0.79,8.81
sunny,4,54.9,0.85,0.1
rain,5,55.0,8.31,29.22
rain,7,41.7,3.92,21.79
rain,13,27.0,1.71,9.54
cloudy,15,27.5,5.46,9.79
sunny,11,46.3,7.81,1.24
sunny,4,54.9,2.55,0.1
rain,13,54.4,6.42,32.79
cloudy,7,49.0,1.31,2.2
cloudy,19,42.1,0.99,4.31
rain,2,14.2,5.55,31.44
rain,10,18.1,5.64,27.84
rain,13,54.9,6.56,35.46
sunny,6,40.3,7.4,0.83
sunny,12,10.5,9.77,6.05
sunny,12,15.1,5.4,5.34
rain,20,43.2,3.57,10.55
sunny,11,10.3,8.05,5.78
rain,7,18.0,3.07,10.58
rain,1,37.4,4.67,15.27
sunny,1,44.6,1.25,0.1
sunny,20,42.6,0.74,3.34
sunny,13,21.2,9.65,3.89
rain,9,45.6,8.44,38.76
sunny,3,21.9,7.11,1.83
sunny,7,26.3,4.39,3.18
rain,6,47.3,2.15,7.75
sunny,8,42.5,1.99,1.69
rain,9,52.5,2.88,15.25
rain,5,42.9,5.72,31.93
cloudy,1,38.4,7.29,7.2
cloudy,19,14.7,6.77,18.5
cloudy,10,28.4,3.16,6.92
sunny,12,23.3,9.57,3.61
rain,15,22.2,7.51,37.3
sunny,9,58.7,5.77,0.1
sunny,20,29.7,6.31,5.36
rain,17,54.6,4.49,15.86
sunny,17,41.6,2.85,2.59
rain,20,49.7,3.88,12.88
cloudy,12,35.1,7.7,14.97
rain,7,38.8,0.64,4.32
sunny,2,34.6,1.6,1.25
sunny,3,19.8,0.94,1.25
sunny,17,46.1,0.89,1.93
sunny,5,24.0,8.63,2.56
rain,17,11.2,7.18,46.55
cloudy,17,42.3,5.0,7.25
sunny,17,18.9,1.43,6.9
cloudy,2,57.0,5.17,7.14
cloudy,2,57.7,5.0,4.88
sunny,5,55.7,2.15,0.68
cloudy,1,28.5,4.62,6.68
rain,1,10.8,4.29,22.3
rain,19,56.4,6.35,37.73
rain,2,31.4,6.53,39.08
sunny,12,58.3,0.93,0.1
sunny,6,58.2,4.06,0.1
rain,4,52.7,6.45,14.91
cloudy,11,24.7,5.28,9.29
sunny,17,29.3,8.64,4.81
rain,6,52.6,6.76,25.56
sunny,5,25.8,2.05,1.68
rain,20,18.5,1.17,11.05
cloudy,2,37.8,6.6,5.96
rain,6,56.8,0.75,1.44
cloudy,11,44.8,6.06,5.26
sunny,16,38.5,9.43,3.69
rain,16,14.9,5.97,21.5
rain,1,40.8,4.19,10.59
cloudy,9,59.5,6.61,5.13
sunny,6,17.0,4.85,1.75
sunny,16,35.9,5.68,4.13
sunny,3,53.9,9.44,0.1
rain,20,47.0,4.17,17.46
sunny,4,44.9,9.63,0.22
rain,19,45.1,9.1,51.75
cloudy,3,28.0,2.36,3.46
sunny,19,24.7,1.16,6.73
sunny,20,50.5,1.46,2.04
rain,7,50.5,0.67,4.17
sunny,20,53.4,1.4,1.65
sunny,9,55.7,6.99,0.1
sunny,1,35.6,1.18,0.21
sunny,8,35.1,3.53,1.39
cloudy,7,49.9,8.53,5.9
sunny,18,42.5,0.72,3.17
rain,8,45.1,8.24,49.18
sunny,1,49.8,3.18,0.1
sunny,11,54.5,1.62,1.11
sunny,18,26.9,7.12,5.67
sunny,10,28.8,6.47,3.54
sunny,3,14.7,8.84,0.79
sunny,7,38.9,7.48,1.74
sunny,16,11.8,8.13,8.43
rain,16,33.3,3.18,9.98
rain,20,37.1,2.19,11.0
